LAV,LAX,LAY,LAZ,LRV,LRX,LRY,LRZ,RAV,RAX,RAY,RAZ,RRV,RRX,RRY,RRZ
-1.593108e-02,-6.523684e-02,3.263158e-04,-6.321053e-02,-9.355124e-01,1.000000e-01,1.000000e-01,-1.300000e+00,-2.726229e-02,3.536842e-03,1.166316e-02,-6.234737e-02,1.282793e+00,1.000000e-01,1.400000e+00,1.400000e+00
-1.238771e-02,-6.403684e-02,3.526316e-03,-5.941053e-02,-1.209491e+00,-3.000000e-01,5.000000e-01,-1.300000e+00,-2.560509e-02,5.036842e-03,1.226316e-02,-6.144737e-02,2.899835e-01,-1.000000e-01,4.000000e-01,4.000000e-01
-1.517412e-02,-6.473684e-02,2.626316e-03,-6.251053e-02,-1.016529e+00,-0.000000e+00,5.000000e-01,-1.300000e+00,-2.492048e-02,5.536842e-03,1.316316e-02,-6.104737e-02,-2.225962e-02,-7.000000e-01,1.000000e+00,4.000000e-01
-1.438738e-02,-6.373684e-02,2.826316e-03,-6.231053e-02,-9.393682e-01,-0.000000e+00,5.000000e-01,-1.200000e+00,-2.514156e-02,5.836842e-03,1.316316e-02,-6.154737e-02,7.047779e-01,-1.000000e-01,6.000000e-01,9.000000e-01
-1.474245e-02,-6.343684e-02,1.326316e-03,-6.311053e-02,-1.565077e+00,-3.000000e-01,-1.000000e-01,-1.800000e+00,-2.516394e-02,5.836842e-03,1.286316e-02,-6.154737e-02,6.415864e-01,1.000000e-01,3.000000e-01,7.000000e-01
-1.469526e-02,-6.403684e-02,1.926316e-03,-6.251053e-02,-1.880567e+00,-4.000000e-01,4.000000e-01,-2.100000e+00,-2.502439e-02,5.936842e-03,1.286316e-02,-6.144737e-02,9.221245e-01,-1.000000e-01,3.000000e-01,1.200000e+00
-1.439791e-02,-6.403684e-02,2.126316e-03,-6.211053e-02,-1.340853e+00,-4.000000e-01,3.000000e-01,-1.400000e+00,-2.510844e-02,5.636842e-03,1.306316e-02,-6.134737e-02,9.477980e-01,-4.000000e-01,9.000000e-01,1.400000e+00
-1.445842e-02,-6.423684e-02,2.326316e-03,-6.201053e-02,-1.185840e+00,-7.000000e-01,1.100000e+00,-9.000000e-01,-2.532796e-02,5.536842e-03,1.306316e-02,-6.154737e-02,8.926078e-01,3.000000e-01,1.000000e+00,8.000000e-01
-1.400355e-02,-6.423684e-02,2.426316e-03,-6.141053e-02,-9.158012e-01,-3.000000e-01,8.000000e-01,-9.000000e-01,-2.514578e-02,5.536842e-03,1.336316e-02,-6.134737e-02,1.747613e-01,-0.000000e+00,2.000000e-01,2.000000e-01
-1.453463e-02,-6.423684e-02,2.326316e-03,-6.211053e-02,-1.080339e+00,-1.000000e-01,5.000000e-01,-1.300000e+00,-2.479973e-02,5.836842e-03,1.346316e-02,-6.114737e-02,6.916344e-01,-0.000000e+00,7.000000e-01,8.000000e-01
-1.423218e-02,-6.413684e-02,2.126316e-03,-6.181053e-02,-1.055815e+00,-3.000000e-01,5.000000e-01,-1.100000e+00,-2.469943e-02,5.736842e-03,1.346316e-02,-6.094737e-02,6.601376e-01,-1.000000e-01,0.000000e+00,9.000000e-01
-1.451296e-02,-6.423684e-02,1.826316e-03,-6.211053e-02,-1.804449e+00,-3.000000e-01,1.900000e+00,-2.000000e+00,-2.485386e-02,5.636842e-03,1.326316e-02,-6.104737e-02,4.306645e-01,-5.000000e-01,1.200000e+00,8.000000e-01
-1.444493e-02,-6.423684e-02,2.026316e-03,-6.201053e-02,-1.425016e+00,-1.000000e-01,1.400000e+00,-1.700000e+00,-2.484826e-02,5.536842e-03,1.306316e-02,-6.094737e-02,4.698560e-01,-3.000000e-01,1.200000e+00,7.000000e-01
-1.447592e-02,-6.453684e-02,1.826316e-03,-6.181053e-02,-1.400317e+00,-3.000000e-01,1.400000e+00,-1.500000e+00,-2.486305e-02,5.536842e-03,1.286316e-02,-6.094737e-02,5.890159e-01,-1.000000e-01,1.200000e+00,7.000000e-01
-1.416207e-02,-6.483684e-02,2.526316e-03,-6.111053e-02,-1.474466e+00,3.000000e-01,1.400000e+00,-2.100000e+00,-2.487618e-02,5.636842e-03,1.296316e-02,-6.104737e-02,8.346576e-01,-2.000000e-01,1.000000e+00,1.100000e+00
