LAV,LAX,LAY,LAZ,LRV,LRX,LRY,LRZ,RAV,RAX,RAY,RAZ,RRV,RRX,RRY,RRZ
-1.455394e-02,-8.952105e-02,-3.663158e-02,-3.064737e-02,-1.880875e+00,-5.000000e-01,1.000000e+00,-1.900000e+00,-1.753615e-03,-1.246079e-01,2.146053e-02,3.280263e-02,9.148661e-01,3.000000e-01,3.000000e-01,9.000000e-01
-1.438388e-02,-8.972105e-02,-3.663158e-02,-3.034737e-02,-2.057131e+00,-5.000000e-01,1.000000e+00,-2.100000e+00,-1.520547e-03,-1.242079e-01,2.176053e-02,3.290263e-02,1.171995e+00,-5.000000e-01,8.000000e-01,1.600000e+00
-1.421029e-02,-8.952105e-02,-3.693158e-02,-3.024737e-02,-1.934185e+00,-8.000000e-01,1.000000e+00,-1.800000e+00,-1.314229e-03,-1.241079e-01,2.196053e-02,3.310263e-02,8.885395e-01,1.000000e-01,7.000000e-01,1.000000e+00
-1.420169e-02,-8.972105e-02,-3.643158e-02,-3.014737e-02,-1.543317e+00,-7.000000e-01,7.000000e-01,-1.400000e+00,-1.585572e-03,-1.241079e-01,2.196053e-02,3.280263e-02,5.137165e-01,-5.000000e-01,1.100000e+00,9.000000e-01
-1.398713e-02,-8.962105e-02,-3.673158e-02,-2.994737e-02,-1.637144e+00,-5.000000e-01,3.000000e-01,-1.600000e+00,-1.398085e-03,-1.243079e-01,2.196053e-02,3.310263e-02,8.112171e-01,-3.000000e-01,7.000000e-01,1.100000e+00
-1.411631e-02,-8.952105e-02,-3.673158e-02,-3.014737e-02,-1.146532e+00,-6.000000e-01,6.000000e-01,-1.000000e+00,-1.406262e-03,-1.243079e-01,2.206053e-02,3.310263e-02,2.725794e-01,2.000000e-01,1.000000e+00,3.000000e-01
-1.438387e-02,-8.952105e-02,-3.683158e-02,-3.044737e-02,-1.957091e+00,-3.000000e-01,1.200000e+00,-2.100000e+00,-1.364352e-03,-1.242079e-01,2.206053e-02,3.310263e-02,6.425713e-01,2.000000e-01,9.000000e-01,7.000000e-01
-1.441907e-02,-8.942105e-02,-3.663158e-02,-3.054737e-02,-1.360845e+00,-5.000000e-01,7.000000e-01,-1.300000e+00,-9.772876e-04,-1.241079e-01,2.226053e-02,3.350263e-02,7.560643e-01,-0.000000e+00,7.000000e-01,9.000000e-01
-1.354041e-02,-8.942105e-02,-3.673158e-02,-2.954737e-02,-1.599331e+00,-1.000000e+00,6.000000e-01,-1.300000e+00,-9.616378e-04,-1.242079e-01,2.266053e-02,3.360263e-02,1.146542e+00,5.000000e-01,7.000000e-01,1.100000e+00
-1.359951e-02,-8.972105e-02,-3.693158e-02,-2.944737e-02,-1.581237e+00,-4.000000e-01,6.000000e-01,-1.600000e+00,-7.538041e-04,-1.239079e-01,2.276053e-02,3.370263e-02,7.946719e-01,-3.000000e-01,9.000000e-01,1.100000e+00
-1.417567e-02,-8.982105e-02,-3.693158e-02,-3.004737e-02,-1.904600e+00,-3.000000e-01,0.000000e+00,-2.000000e+00,-1.158962e-03,-1.242079e-01,2.286053e-02,3.340263e-02,7.521304e-01,5.000000e-01,0.000000e+00,6.000000e-01
-1.411978e-02,-8.972105e-02,-3.663158e-02,-3.004737e-02,-1.374814e+00,-0.000000e+00,1.200000e+00,-1.600000e+00,-6.758648e-04,-1.244079e-01,2.256053e-02,3.400263e-02,8.538955e-01,-1.000000e-01,1.000000e-01,1.000000e+00
-1.412001e-02,-8.972105e-02,-3.663158e-02,-3.004737e-02,-1.321688e+00,3.000000e-01,1.200000e+00,-1.700000e+00,-6.609782e-04,-1.246079e-01,2.246053e-02,3.410263e-02,5.470973e-01,-4.000000e-01,1.200000e+00,9.000000e-01
-1.398788e-02,-8.962105e-02,-3.673158e-02,-2.994737e-02,-1.178376e+00,1.000000e-01,3.000000e-01,-1.400000e+00,-1.438832e-04,-1.247079e-01,2.226053e-02,3.470263e-02,1.232818e+00,-0.000000e+00,4.000000e-01,1.400000e+00
-1.421173e-02,-8.952105e-02,-3.693158e-02,-3.024737e-02,-1.550926e+00,-0.000000e+00,1.200000e+00,-1.800000e+00,-1.521695e-04,-1.247079e-01,2.236053e-02,3.470263e-02,1.147342e+00,-4.000000e-01,5.000000e-01,1.500000e+00
-1.451139e-02,-8.942105e-02,-3.673158e-02,-3.064737e-02,-1.186970e+00,-7.000000e-01,8.000000e-01,-1.000000e+00,1.627088e-04,-1.244079e-01,2.226053e-02,3.490263e-02,1.536075e+00,9.000000e-01,2.000000e-01,1.300000e+00
