LAV,LAX,LAY,LAZ,LRV,LRX,LRY,LRZ,RAV,RAX,RAY,RAZ,RRV,RRX,RRY,RRZ
-9.499657e-03,-1.728684e-02,-2.122632e-02,-1.290789e-02,-1.577195e+00,-5.000000e-01,1.000000e+00,-1.600000e+00,6.608183e-03,-3.626053e-02,-7.315789e-04,1.236316e-02,1.000258e+00,5.000000e-01,5.000000e-01,9.000000e-01
-1.435891e-02,-1.858684e-02,-1.562632e-02,-1.810789e-02,-1.557760e+00,-2.000000e-01,1.300000e+00,-1.800000e+00,3.665467e-03,-3.726053e-02,-7.315789e-04,9.563158e-03,9.783401e-01,1.000000e-01,8.000000e-01,1.100000e+00
-1.281809e-02,-1.848684e-02,-1.832632e-02,-1.620789e-02,-2.188951e+00,-7.000000e-01,8.000000e-01,-2.200000e+00,6.271798e-03,-3.656053e-02,-3.315789e-04,1.216316e-02,1.116109e+00,4.000000e-01,8.000000e-01,1.100000e+00
-1.107309e-02,-1.768684e-02,-1.922632e-02,-1.460789e-02,-2.202798e+00,-3.000000e-01,1.200000e+00,-2.500000e+00,6.045742e-03,-3.646053e-02,-2.315789e-04,1.186316e-02,1.318038e+00,-3.000000e-01,1.000000e+00,1.700000e+00
-1.087280e-02,-1.808684e-02,-1.892632e-02,-1.410789e-02,-1.550552e+00,-0.000000e+00,8.000000e-01,-1.900000e+00,6.086231e-03,-3.676053e-02,-2.315789e-04,1.206316e-02,7.613120e-01,-0.000000e+00,7.000000e-01,9.000000e-01
-1.087437e-02,-1.778684e-02,-1.902632e-02,-1.430789e-02,-1.621088e+00,-0.000000e+00,1.200000e+00,-2.000000e+00,5.835513e-03,-3.646053e-02,3.684211e-04,1.166316e-02,9.547122e-01,3.000000e-01,1.300000e+00,1.000000e+00
-1.105967e-02,-1.798684e-02,-1.872632e-02,-1.440789e-02,-1.737364e+00,-5.000000e-01,1.100000e+00,-1.800000e+00,5.528677e-03,-3.656053e-02,2.684211e-04,1.136316e-02,9.230796e-01,-4.000000e-01,9.000000e-01,1.300000e+00
-1.057155e-02,-1.798684e-02,-1.902632e-02,-1.380789e-02,-2.448147e+00,-7.000000e-01,5.000000e-01,-2.500000e+00,5.525634e-03,-3.636053e-02,3.684211e-04,1.126316e-02,9.442912e-01,-0.000000e+00,6.000000e-01,1.100000e+00
-1.047927e-02,-1.798684e-02,-1.872632e-02,-1.370789e-02,-2.229588e+00,-6.000000e-01,4.000000e-01,-2.300000e+00,5.073415e-03,-3.656053e-02,4.684211e-04,1.086316e-02,7.939220e-01,-5.000000e-01,8.000000e-01,1.200000e+00
-1.034071e-02,-1.788684e-02,-1.872632e-02,-1.360789e-02,-2.043265e+00,-3.000000e-01,1.000000e+00,-2.300000e+00,5.374675e-03,-3.646053e-02,6.684211e-04,1.116316e-02,6.876911e-01,8.000000e-01,6.000000e-01,4.000000e-01
-1.047495e-02,-1.768684e-02,-1.862632e-02,-1.390789e-02,-1.744696e+00,-8.000000e-01,9.000000e-01,-1.600000e+00,5.500855e-03,-3.656053e-02,7.684211e-04,1.136316e-02,6.834064e-01,-5.000000e-01,1.200000e+00,1.100000e+00
-1.071901e-02,-1.778684e-02,-1.932632e-02,-1.410789e-02,-1.996689e+00,-8.000000e-01,8.000000e-01,-1.900000e+00,5.756293e-03,-3.656053e-02,9.684211e-04,1.166316e-02,1.121294e+00,4.000000e-01,7.000000e-01,1.100000e+00
-1.054385e-02,-1.778684e-02,-1.902632e-02,-1.390789e-02,-1.955372e+00,-6.000000e-01,1.200000e+00,-2.000000e+00,5.261018e-03,-3.666053e-02,1.068421e-03,1.116316e-02,1.247235e+00,7.000000e-01,9.000000e-01,1.100000e+00
-1.095384e-02,-1.808684e-02,-1.882632e-02,-1.420789e-02,-2.097977e+00,1.000000e-01,1.000000e-01,-2.600000e+00,5.050543e-03,-3.656053e-02,8.684211e-04,1.086316e-02,5.198076e-01,-7.000000e-01,9.000000e-01,1.000000e+00
-1.130681e-02,-1.798684e-02,-1.862632e-02,-1.470789e-02,-1.724651e+00,3.000000e-01,5.000000e-01,-2.300000e+00,5.101345e-03,-3.646053e-02,7.684211e-04,1.086316e-02,9.757455e-01,3.000000e-01,9.000000e-01,1.000000e+00
-1.115083e-02,-1.798684e-02,-1.892632e-02,-1.450789e-02,-2.393506e+00,-9.000000e-01,5.000000e-01,-2.300000e+00,5.033882e-03,-3.646053e-02,3.684211e-04,1.076316e-02,5.858321e-01,-3.000000e-01,1.400000e+00,9.000000e-01
-1.154198e-02,-1.808684e-02,-1.902632e-02,-1.490789e-02,-1.705170e+00,-1.000000e-01,3.000000e-01,-2.000000e+00,5.478083e-03,-3.646053e-02,3.684211e-04,1.126316e-02,9.763547e-01,4.000000e-01,1.000000e-01,9.000000e-01
-1.198433e-02,-1.798684e-02,-1.902632e-02,-1.550789e-02,-2.544253e+00,-1.200000e+00,1.000000e+00,-2.300000e+00,5.222088e-03,-3.646053e-02,1.684211e-04,1.096316e-02,1.005386e+00,-0.000000e+00,1.100000e+00,1.200000e+00
-1.216367e-02,-1.798684e-02,-1.942632e-02,-1.570789e-02,-1.317627e+00,-0.000000e+00,3.000000e-01,-1.600000e+00,5.730165e-03,-3.616053e-02,-1.315789e-04,1.136316e-02,5.877484e-01,-1.000000e-01,1.400000e+00,8.000000e-01
-1.245101e-02,-1.818684e-02,-1.972632e-02,-1.590789e-02,-2.101865e+00,-8.000000e-01,1.000000e-01,-2.000000e+00,5.463623e-03,-3.616053e-02,-1.315789e-04,1.106316e-02,1.279592e+00,7.000000e-01,3.000000e-01,1.100000e+00
-1.240030e-02,-1.838684e-02,-1.982632e-02,-1.570789e-02,-1.960755e+00,-6.000000e-01,1.000000e+00,-2.000000e+00,5.069882e-03,-3.606053e-02,-2.315789e-04,1.056316e-02,5.963571e-01,-3.000000e-01,1.200000e+00,9.000000e-01
-1.133833e-02,-1.798684e-02,-1.952632e-02,-1.470789e-02,-2.397474e+00,-8.000000e-01,1.200000e+00,-2.400000e+00,5.527596e-03,-3.586053e-02,-4.315789e-04,1.096316e-02,8.451948e-01,1.000000e-01,0.000000e+00,9.000000e-01
-1.187538e-02,-1.818684e-02,-1.982632e-02,-1.520789e-02,-1.882038e+00,-0.000000e+00,8.000000e-01,-2.300000e+00,5.524768e-03,-3.606053e-02,-4.315789e-04,1.106316e-02,1.219139e+00,3.000000e-01,1.300000e+00,1.300000e+00
-1.154768e-02,-1.818684e-02,-1.992632e-02,-1.480789e-02,-2.183304e+00,-1.000000e-01,9.000000e-01,-2.600000e+00,5.522024e-03,-3.626053e-02,-4.315789e-04,1.116316e-02,1.154780e+00,-5.000000e-01,7.000000e-01,1.600000e+00
-1.125041e-02,-1.808684e-02,-2.012632e-02,-1.450789e-02,-1.827357e+00,-2.000000e-01,8.000000e-01,-2.100000e+00,5.257098e-03,-3.606053e-02,-4.315789e-04,1.076316e-02,1.234479e+00,-3.000000e-01,9.000000e-01,1.600000e+00
