LAV,LAX,LAY,LAZ,LRV,LRX,LRY,LRZ,RAV,RAX,RAY,RAZ,RRV,RRX,RRY,RRZ
-1.409992e-02,-1.110223e-16,4.268684e-02,-2.470526e-02,-3.536275e+01,-2.710000e+01,6.900000e+00,-2.210000e+01,-4.181925e-03,-2.642105e-02,-1.508947e-02,3.194737e-03,-7.504145e-01,4.000000e-01,1.400000e+00,-1.000000e+00
-4.999751e-03,3.500000e-03,5.658684e-02,-1.320526e-02,-2.652158e+01,-2.050000e+01,5.700000e+00,-1.640000e+01,-1.793623e-03,-2.392105e-02,-1.178947e-02,4.894737e-03,-1.934454e-01,3.000000e-01,1.000000e+00,-3.000000e-01
-8.146156e-03,-2.400000e-03,5.348684e-02,-1.220526e-02,-1.692081e+01,-1.360000e+01,4.700000e+00,-9.800000e+00,-4.252919e-03,-2.492105e-02,-1.028947e-02,2.794737e-03,-2.651357e-01,9.000000e-01,0.000000e+00,-1.000000e+00
-1.232862e-02,-3.900000e-03,8.118684e-02,-1.330526e-02,-2.785864e+00,-2.300000e+00,2.500000e+00,-1.400000e+00,-3.972700e-03,-2.622105e-02,-1.158947e-02,3.894737e-03,6.699889e-02,7.000000e-01,2.000000e-01,-4.000000e-01
-1.168567e-02,-6.300000e-03,6.938684e-02,-1.130526e-02,-3.720777e-01,-4.500000e+00,2.400000e+00,4.200000e+00,-3.449848e-03,-2.662105e-02,-1.128947e-02,4.894737e-03,-3.273942e-01,8.000000e-01,0.000000e+00,-1.000000e+00
-1.188202e-02,-2.600000e-03,5.108684e-02,-1.740526e-02,4.832450e-01,-3.700000e+00,3.100000e+00,4.700000e+00,-2.631560e-03,-2.532105e-02,-1.108947e-02,4.994737e-03,-6.990154e-01,8.000000e-01,4.000000e-01,-1.400000e+00
-1.168877e-02,-1.700000e-03,3.488684e-02,-2.000526e-02,1.028495e-01,-3.900000e+00,3.400000e+00,4.400000e+00,-3.131191e-03,-2.522105e-02,-1.108947e-02,4.294737e-03,-3.139863e-01,1.000000e-01,-2.000000e-01,-5.000000e-01
-1.121194e-02,-2.200000e-03,2.328684e-02,-2.030526e-02,5.644950e-02,-2.300000e+00,2.900000e+00,2.700000e+00,-3.002648e-03,-2.532105e-02,-1.068947e-02,4.594737e-03,-4.186856e-01,4.000000e-01,-1.100000e+00,-1.000000e+00
-1.081401e-02,-1.900000e-03,1.348684e-02,-2.130526e-02,-6.498873e-01,-1.900000e+00,3.600000e+00,1.400000e+00,-2.267196e-03,-2.432105e-02,-1.058947e-02,4.794737e-03,3.002145e-02,8.000000e-01,-9.000000e-01,-7.000000e-01
-1.004545e-02,-1.400000e-03,5.886842e-03,-2.170526e-02,-5.105290e-01,-3.000000e-01,3.400000e+00,0.000000e+00,-2.193107e-03,-2.352105e-02,-9.989474e-03,4.394737e-03,-1.450458e-01,5.000000e-01,-3.000000e-01,-6.000000e-01
-9.137856e-03,-8.000000e-04,1.386842e-03,-2.160526e-02,-5.634802e-01,1.000000e+00,3.800000e+00,-1.300000e+00,-1.983861e-03,-2.292105e-02,-9.489474e-03,4.294737e-03,-2.691035e-01,9.000000e-01,-6.000000e-01,-1.100000e+00
-9.215386e-03,-1.000000e-03,-5.513158e-03,-2.240526e-02,-3.428609e-01,1.600000e+00,4.400000e+00,-1.500000e+00,-1.587229e-03,-2.232105e-02,-8.589474e-03,4.494737e-03,-4.766971e-01,-4.000000e-01,-6.000000e-01,-4.000000e-01
-8.606671e-03,-3.000000e-04,-1.041316e-02,-2.290526e-02,-7.297394e-01,4.000000e-01,4.100000e+00,-9.000000e-01,-8.212199e-04,-2.172105e-02,-8.689474e-03,4.994737e-03,1.003987e-01,-5.000000e-01,-1.200000e+00,3.000000e-01
-6.956691e-03,3.000000e-04,-2.421316e-02,-2.300526e-02,-4.549318e-01,3.000000e-01,3.400000e+00,-5.000000e-01,-4.545112e-04,-2.092105e-02,-8.489474e-03,4.894737e-03,-1.319114e-01,-4.000000e-01,-8.000000e-01,0.000000e+00
-6.920740e-03,1.000000e-03,-2.771316e-02,-2.420526e-02,-2.171337e-01,-5.000000e-01,4.000000e+00,7.000000e-01,1.239754e-04,-2.012105e-02,-8.689474e-03,4.994737e-03,-6.003747e-02,-3.000000e-01,-9.000000e-01,0.000000e+00
-6.357009e-03,-1.500000e-03,-2.631316e-02,-2.090526e-02,-2.178937e-01,-7.000000e-01,4.000000e+00,9.000000e-01,2.417701e-04,-2.012105e-02,-9.589474e-03,4.994737e-03,-8.762491e-01,-1.300000e+00,-1.000000e+00,-3.000000e-01
-6.191106e-03,-3.000000e-03,-2.311316e-02,-1.890526e-02,5.753455e-02,-7.000000e-01,3.300000e+00,1.200000e+00,9.218578e-04,-1.962105e-02,-1.008947e-02,5.394737e-03,2.862577e-02,-1.000000e-01,-1.900000e+00,-2.000000e-01
-5.480472e-03,-3.500000e-03,-2.071316e-02,-1.720526e-02,-2.082561e-01,-6.000000e-01,2.300000e+00,6.000000e-01,1.193341e-03,-1.862105e-02,-1.068947e-02,4.894737e-03,-1.729662e-01,-4.000000e-01,-1.100000e+00,-1.000000e-01
-4.419223e-03,-3.500000e-03,-1.761316e-02,-1.540526e-02,-3.174533e-01,-1.000000e+00,2.000000e+00,8.000000e-01,8.023703e-04,-1.872105e-02,-1.118947e-02,4.394737e-03,-8.120166e-01,-2.000000e-01,-1.400000e+00,-1.100000e+00
-4.356758e-03,-4.000000e-03,-1.381316e-02,-1.440526e-02,-6.136003e-01,-1.000000e+00,2.100000e+00,4.000000e-01,1.006982e-03,-1.882105e-02,-1.198947e-02,4.594737e-03,-5.682887e-01,3.000000e-01,-1.000000e+00,-1.100000e+00
-4.518460e-03,-4.700000e-03,-1.211316e-02,-1.380526e-02,-9.900083e-02,-9.000000e-01,1.900000e+00,1.000000e+00,5.304339e-04,-1.922105e-02,-1.258947e-02,4.194737e-03,-9.584078e-01,-0.000000e+00,-1.200000e+00,-1.400000e+00
-4.890961e-03,-5.600000e-03,-1.271316e-02,-1.360526e-02,-1.073779e+00,-1.000000e+00,2.400000e+00,-2.000000e-01,3.227499e-04,-1.932105e-02,-1.328947e-02,3.894737e-03,-4.388531e-01,1.300000e+00,-5.000000e-01,-1.600000e+00
-5.150064e-03,-6.200000e-03,-1.451316e-02,-1.370526e-02,8.990276e-02,-1.000000e-01,2.700000e+00,6.000000e-01,-5.000560e-05,-1.932105e-02,-1.348947e-02,3.394737e-03,-7.216128e-01,1.200000e+00,0.000000e+00,-1.800000e+00
-5.544156e-03,-7.000000e-03,-1.631316e-02,-1.380526e-02,-1.635591e-01,-3.000000e-01,2.400000e+00,4.000000e-01,-1.684786e-04,-1.912105e-02,-1.288947e-02,3.194737e-03,-7.439836e-01,1.100000e+00,-9.000000e-01,-1.900000e+00
-5.632845e-03,-7.400000e-03,-1.841316e-02,-1.390526e-02,-4.338486e-01,-1.000000e-01,2.200000e+00,-2.000000e-01,-6.397655e-04,-1.882105e-02,-1.278947e-02,2.394737e-03,-1.204669e+00,3.000000e-01,-1.000000e+00,-1.900000e+00
-5.309580e-03,-6.700000e-03,-1.981316e-02,-1.440526e-02,-1.726308e-01,-0.000000e+00,2.400000e+00,1.000000e-01,-1.098800e-03,-1.862105e-02,-1.138947e-02,1.894737e-03,-1.018881e+00,7.000000e-01,-6.000000e-01,-1.900000e+00
-4.667006e-03,-6.300000e-03,-2.081316e-02,-1.410526e-02,-5.489870e-01,-1.000000e-01,1.900000e+00,-4.000000e-01,-1.320741e-03,-1.822105e-02,-1.028947e-02,1.494737e-03,-6.131824e-01,8.000000e-01,-2.000000e-01,-1.400000e+00
-5.332026e-03,-6.100000e-03,-2.091316e-02,-1.530526e-02,-4.284336e-01,4.000000e-01,2.700000e+00,-6.000000e-01,-1.397421e-03,-1.822105e-02,-9.689474e-03,1.494737e-03,-9.310025e-01,8.000000e-01,-2.000000e-01,-1.800000e+00
-5.718796e-03,-6.700000e-03,-2.081316e-02,-1.530526e-02,-9.623580e-01,1.000000e-01,1.700000e+00,-1.200000e+00,-1.426062e-03,-1.792105e-02,-8.689474e-03,1.394737e-03,-1.044861e+00,5.000000e-01,-7.000000e-01,-1.800000e+00
-6.450407e-03,-7.700000e-03,-2.221316e-02,-1.560526e-02,-1.186712e+00,5.000000e-01,2.400000e+00,-1.800000e+00,-1.422112e-03,-1.772105e-02,-7.789474e-03,1.394737e-03,-6.276080e-01,7.000000e-01,7.000000e-01,-1.200000e+00
-6.771778e-03,-8.600000e-03,-2.291316e-02,-1.530526e-02,-7.021309e-01,1.800000e+00,1.600000e+00,-2.500000e+00,-1.148197e-03,-1.742105e-02,-7.289474e-03,1.594737e-03,-9.548420e-01,4.000000e-01,0.000000e+00,-1.500000e+00
-6.208517e-03,-9.000000e-03,-2.341316e-02,-1.420526e-02,-9.286587e-01,2.400000e+00,1.600000e+00,-3.400000e+00,-1.179314e-03,-1.712105e-02,-6.889474e-03,1.394737e-03,-4.979673e-01,5.000000e-01,0.000000e+00,-1.000000e+00
-5.557999e-03,-8.800000e-03,-2.411316e-02,-1.360526e-02,-1.403899e+00,1.700000e+00,1.500000e+00,-3.400000e+00,-1.056411e-03,-1.692105e-02,-6.289474e-03,1.494737e-03,-7.764450e-01,7.000000e-01,0.000000e+00,-1.500000e+00
-5.070959e-03,-8.400000e-03,-2.331316e-02,-1.320526e-02,-1.576245e+00,1.700000e+00,1.100000e+00,-3.700000e+00,-1.357583e-03,-1.652105e-02,-5.789474e-03,8.947368e-04,-7.864613e-01,4.000000e-01,-7.000000e-01,-1.400000e+00
-4.484666e-03,-8.000000e-03,-2.281316e-02,-1.270526e-02,-1.750574e+00,1.700000e+00,1.400000e+00,-3.900000e+00,-1.506833e-03,-1.642105e-02,-5.389474e-03,6.947368e-04,-1.269628e+00,2.000000e-01,3.000000e-01,-1.700000e+00
-4.363730e-03,-7.700000e-03,-2.191316e-02,-1.270526e-02,-1.264141e+00,1.800000e+00,1.500000e+00,-3.300000e+00,-1.439377e-03,-1.642105e-02,-5.289474e-03,7.947368e-04,-5.683857e-01,1.000000e+00,4.000000e-01,-1.400000e+00
-4.463082e-03,-7.400000e-03,-2.021316e-02,-1.290526e-02,-1.015360e+00,1.500000e+00,1.900000e+00,-2.600000e+00,-1.913314e-03,-1.662105e-02,-4.989474e-03,3.947368e-04,-5.794547e-01,2.000000e-01,5.000000e-01,-8.000000e-01
-4.222828e-03,-7.500000e-03,-1.891316e-02,-1.230526e-02,-7.240444e-01,1.300000e+00,1.200000e+00,-2.100000e+00,-2.056914e-03,-1.682105e-02,-4.789474e-03,3.947368e-04,-4.073292e-01,1.200000e+00,7.000000e-01,-1.300000e+00
-4.284754e-03,-7.300000e-03,-1.751316e-02,-1.240526e-02,-4.411381e-01,1.400000e+00,1.200000e+00,-1.800000e+00,-2.284059e-03,-1.752105e-02,-4.389474e-03,6.947368e-04,-6.479524e-01,1.400000e+00,4.000000e-01,-1.800000e+00
-3.758835e-03,-7.500000e-03,-1.561316e-02,-1.120526e-02,-5.893883e-01,1.800000e+00,5.000000e-01,-2.500000e+00,-3.034234e-03,-1.872105e-02,-4.089474e-03,6.947368e-04,-4.723468e-01,5.000000e-01,-2.000000e-01,-1.000000e+00
-3.649050e-03,-7.500000e-03,-1.381316e-02,-1.080526e-02,-7.727685e-01,1.200000e+00,1.000000e+00,-2.100000e+00,-3.286294e-03,-1.932105e-02,-4.289474e-03,7.947368e-04,-1.030500e+00,3.000000e-01,-5.000000e-01,-1.600000e+00
-3.988663e-03,-7.500000e-03,-1.251316e-02,-1.110526e-02,-2.605531e-01,1.600000e+00,8.000000e-01,-1.800000e+00,-3.268236e-03,-1.972105e-02,-3.789474e-03,1.194737e-03,-1.233774e+00,2.000000e-01,-1.900000e+00,-2.000000e+00
-3.670230e-03,-8.400000e-03,-1.111316e-02,-9.605263e-03,-5.314510e-01,7.000000e-01,-5.000000e-01,-1.500000e+00,-3.617874e-03,-2.002105e-02,-3.689474e-03,9.947368e-04,-1.035237e+00,6.000000e-01,-3.000000e-01,-1.800000e+00
-3.801636e-03,-9.000000e-03,-1.091316e-02,-9.205263e-03,-3.333603e-01,8.000000e-01,3.000000e-01,-1.200000e+00,-3.332526e-03,-1.992105e-02,-3.589474e-03,1.294737e-03,-8.394518e-01,1.000000e+00,-6.000000e-01,-1.900000e+00
-3.630040e-03,-9.200000e-03,-9.713158e-03,-8.605263e-03,-6.118225e-01,1.200000e+00,-5.000000e-01,-2.100000e+00,-3.220427e-03,-1.972105e-02,-2.889474e-03,1.394737e-03,-1.053402e+00,3.000000e-01,-1.600000e+00,-1.800000e+00
-3.361325e-03,-9.800000e-03,-9.913158e-03,-7.705263e-03,-9.675234e-01,1.000000e-01,-3.000000e-01,-1.500000e+00,-3.675911e-03,-1.952105e-02,-2.089474e-03,7.947368e-04,-1.049863e+00,-0.000000e+00,-5.000000e-01,-1.400000e+00
-3.494112e-03,-1.030000e-02,-1.041316e-02,-7.505263e-03,-9.297705e-01,4.000000e-01,-7.000000e-01,-1.800000e+00,-3.146267e-03,-1.902105e-02,-1.389474e-03,1.194737e-03,-9.657276e-01,1.000000e-01,-7.000000e-01,-1.400000e+00
-3.523373e-03,-1.020000e-02,-1.071316e-02,-7.705263e-03,-1.271996e+00,6.000000e-01,-2.000000e-01,-2.400000e+00,-2.993468e-03,-1.862105e-02,-6.894737e-04,1.194737e-03,-7.855214e-01,-1.000000e-01,-1.200000e+00,-1.100000e+00
-3.833110e-03,-1.000000e-02,-1.101316e-02,-8.405263e-03,-1.002716e+00,3.000000e-01,0.000000e+00,-1.700000e+00,-2.873832e-03,-1.802105e-02,-6.894737e-04,8.947368e-04,-1.206441e+00,-1.000000e+00,-2.000000e-01,-8.000000e-01
-3.693194e-03,-9.000000e-03,-1.101316e-02,-9.205263e-03,-8.696603e-01,5.000000e-01,-6.000000e-01,-1.800000e+00,-2.174648e-03,-1.652105e-02,-3.894737e-04,6.947368e-04,-3.711218e-01,-5.000000e-01,-7.000000e-01,-2.000000e-01
-4.000214e-03,-8.100000e-03,-1.151316e-02,-1.060526e-02,-6.587052e-01,1.000000e+00,0.000000e+00,-1.900000e+00,-1.956043e-03,-1.552105e-02,1.105263e-04,2.947368e-04,-6.101607e-01,-0.000000e+00,-2.000000e-01,-8.000000e-01
-3.426183e-03,-7.200000e-03,-1.151316e-02,-1.070526e-02,-8.667454e-01,1.000000e-01,1.000000e-01,-1.300000e+00,-2.033083e-03,-1.472105e-02,1.105263e-04,-4.052632e-04,-6.772266e-01,-0.000000e+00,-3.000000e-01,-9.000000e-01
-4.086379e-03,-5.900000e-03,-1.141316e-02,-1.290526e-02,-7.401812e-02,1.100000e+00,5.000000e-01,-1.100000e+00,-1.594807e-03,-1.412105e-02,1.105263e-04,-3.052632e-04,-7.450596e-01,-4.000000e-01,-4.000000e-01,-7.000000e-01
-4.156004e-03,-5.100000e-03,-1.141316e-02,-1.380526e-02,-6.344245e-01,6.000000e-01,5.000000e-01,-1.400000e+00,-1.569231e-03,-1.412105e-02,-8.947368e-05,-3.052632e-04,-8.431292e-01,1.000000e-01,-4.000000e-01,-1.200000e+00
-4.818566e-03,-4.700000e-03,-1.181316e-02,-1.520526e-02,-1.174546e+00,5.000000e-01,9.000000e-01,-2.000000e+00,-1.591486e-03,-1.422105e-02,-3.894737e-04,-3.052632e-04,-1.323015e-01,8.000000e-01,-2.000000e-01,-8.000000e-01
-5.295037e-03,-4.700000e-03,-1.121316e-02,-1.580526e-02,-6.435882e-01,5.000000e-01,6.000000e-01,-1.300000e+00,-1.045922e-03,-1.392105e-02,-7.894737e-04,9.473684e-05,1.792223e-02,5.000000e-01,-3.000000e-01,-4.000000e-01
-4.962421e-03,-4.100000e-03,-1.161316e-02,-1.600526e-02,-1.122124e+00,3.000000e-01,1.100000e+00,-1.700000e+00,-9.611246e-04,-1.382105e-02,-9.894737e-04,9.473684e-05,-3.103313e-01,4.000000e-01,-7.000000e-01,-8.000000e-01
-5.284785e-03,-3.900000e-03,-1.181316e-02,-1.670526e-02,-5.111675e-01,7.000000e-01,1.300000e+00,-1.200000e+00,-9.730898e-04,-1.382105e-02,-8.894737e-04,9.473684e-05,-4.655034e-01,-3.000000e-01,4.000000e-01,-3.000000e-01
-5.253510e-03,-4.300000e-03,-1.191316e-02,-1.630526e-02,-9.769708e-01,5.000000e-01,4.000000e-01,-1.800000e+00,-1.167657e-03,-1.382105e-02,-5.894737e-04,-1.052632e-04,-9.289387e-01,-3.000000e-01,3.000000e-01,-9.000000e-01
-5.839137e-03,-4.900000e-03,-1.161316e-02,-1.650526e-02,-7.689253e-01,1.100000e+00,1.000000e+00,-2.000000e+00,-1.521116e-03,-1.432105e-02,-7.894737e-04,-2.052632e-04,-8.684117e-01,-3.000000e-01,-2.000000e-01,-9.000000e-01
-5.450815e-03,-5.300000e-03,-1.111316e-02,-1.550526e-02,-7.040712e-01,8.000000e-01,1.100000e+00,-1.600000e+00,-1.860554e-03,-1.492105e-02,-2.894737e-04,-1.052632e-04,-7.408073e-01,-3.000000e-01,-6.000000e-01,-8.000000e-01
