LAV,LAX,LAY,LAZ,LRV,LRX,LRY,LRZ,RAV,RAX,RAY,RAZ,RRV,RRX,RRY,RRZ
6.152284e-03,-1.277262e-03,-2.520626e-03,9.295381e-03,1.816476e+00,-2.480735e+00,2.600942e+00,3.191088e+00,-6.267425e-03,-1.051729e-01,2.018968e-02,6.154564e-02,5.492861e-02,4.819377e+00,-2.797638e+00,-3.365898e+00
2.751407e-03,-8.027171e-03,3.903484e-03,7.754692e-03,1.510587e+00,-3.147372e+00,2.415132e+00,3.322181e+00,9.560265e-04,-8.136984e-02,3.600812e-02,6.057038e-02,4.373342e+00,7.081529e+00,-6.065217e+00,-3.933928e-01
2.535937e-03,-1.190525e-02,2.449165e-03,1.058491e-02,1.338219e+00,-3.562652e+00,1.661119e+00,3.617254e+00,-2.716486e-03,-6.415489e-02,6.072034e-02,5.264790e-02,6.613150e+00,7.649789e+00,-7.955805e+00,1.442536e+00
2.053768e-03,-1.294863e-02,1.909429e-03,1.086452e-02,1.332536e+00,-4.371324e+00,1.846872e+00,4.109024e+00,7.999032e-03,-4.939184e-02,7.007134e-02,5.910454e-02,7.584473e+00,6.775570e+00,-9.780848e+00,2.622772e+00
4.597531e-03,7.335248e-05,-6.045377e-03,7.479675e-03,1.389756e+00,-4.775661e+00,1.289556e+00,4.622681e+00,2.189088e-02,-3.614767e-02,7.210567e-02,6.829392e-02,7.358141e+00,6.677193e+00,-9.507604e+00,2.480735e+00
8.899858e-03,2.600515e-03,-1.358312e-02,1.333274e-02,8.644485e-01,-3.934215e+00,1.672005e+00,3.278465e+00,2.506265e-02,-3.075164e-02,7.572740e-02,6.970255e-02,5.386667e+00,6.163536e+00,-8.862855e+00,6.119762e-01
5.981059e-03,-2.543341e-03,-1.944985e-02,1.492258e-02,1.294724e+00,-3.628198e+00,2.338642e+00,3.409615e+00,1.729008e-02,-4.001311e-02,8.660858e-02,6.840843e-02,2.670756e+00,5.136280e+00,-8.021352e+00,-1.792269e+00
8.164512e-03,-1.744903e-03,-1.290052e-02,1.517466e-02,1.384018e+00,-3.059938e+00,1.540913e+00,3.365898e+00,3.094303e-03,-4.448364e-02,8.452541e-02,5.356075e-02,-6.376782e-01,3.890498e+00,-7.507752e+00,-4.852150e+00
2.903709e-03,-6.218806e-03,-2.409375e-03,8.623185e-03,7.480368e-01,-2.874128e+00,1.835929e+00,2.360529e+00,-1.047491e-03,-5.009351e-02,7.949178e-02,5.051496e-02,-4.483856e+00,3.311295e+00,-6.272857e+00,-8.753592e+00
7.731693e-03,-2.335625e-03,-1.962188e-02,1.698221e-02,3.705009e-01,-2.360529e+00,6.666364e-01,1.879645e+00,1.430662e-04,-5.203250e-02,6.487119e-02,4.932495e-02,-8.323033e+00,2.579055e+00,-4.797548e+00,-1.250200e+01
9.988643e-03,9.945722e-05,-2.689480e-02,2.023286e-02,-2.010148e-02,-1.486253e+00,6.994096e-01,7.868429e-01,1.161191e-02,-3.785957e-02,4.979877e-02,5.086564e-02,-1.127509e+01,2.174719e+00,-3.333125e+00,-1.539801e+01
1.225328e-02,4.505753e-03,-2.684922e-02,2.003055e-02,-4.652282e-01,-5.245429e-01,1.420935e-01,-2.623001e-01,1.691984e-02,-3.292108e-02,4.337588e-02,5.263067e-02,-1.432551e+01,2.240322e+00,-6.994096e-01,-1.840329e+01
7.815854e-03,1.326278e-03,-6.349660e-03,1.073879e-02,-7.236722e-01,-5.354864e-01,4.152798e-01,-6.556929e-01,7.499002e-03,-4.155910e-02,3.558392e-02,4.461998e-02,-1.713238e+01,1.464366e+00,9.944828e-01,-2.086214e+01
-3.109484e-04,-2.996707e-03,5.500972e-03,1.432245e-04,-5.775297e-01,-7.868429e-01,5.792030e-01,-3.497334e-01,2.277496e-03,-4.424931e-02,2.104685e-02,3.658391e-02,-2.003330e+01,3.933928e-01,2.721148e+00,-2.325544e+01
-4.685338e-03,-6.877339e-03,-4.677937e-03,2.970997e-04,-4.402051e-01,-2.076399e+00,1.376989e+00,4.699400e-01,-2.874826e-03,-4.058741e-02,4.063985e-03,2.444490e-02,-2.245036e+01,-1.027256e+00,4.043478e+00,-2.497122e+01
-7.204010e-03,-1.424275e-02,-6.395547e-03,2.681604e-03,-3.778701e-01,-1.442536e+00,1.322329e+00,1.311500e-01,-1.405912e-02,-4.740289e-02,-1.141429e-02,1.173689e-02,-2.431547e+01,-2.666488e+00,5.125394e+00,-2.596565e+01
-3.936755e-03,-1.129342e-02,-8.482499e-03,5.339596e-03,1.665321e-02,-1.147463e+00,1.114689e+00,4.808262e-01,-3.126257e-02,-6.861941e-02,-2.505320e-02,8.137899e-04,-2.556688e+01,-3.977931e+00,4.753831e+00,-2.676343e+01
1.366787e-03,-1.172466e-02,-1.208271e-02,1.326605e-02,4.635606e-01,-1.748553e+00,1.278613e+00,1.398819e+00,-3.923133e-02,-6.837498e-02,-4.034445e-02,-1.209582e-02,-2.489854e+01,-5.857577e+00,3.245691e+00,-2.522252e+01
4.635669e-04,-1.312800e-02,-1.119484e-02,1.284124e-02,3.588678e-02,-1.617403e+00,1.398819e+00,7.431263e-01,-3.352974e-02,-5.874325e-02,-5.704791e-02,-1.469854e-02,-2.421562e+01,-7.955805e+00,2.338642e+00,-2.339753e+01
4.419988e-04,-1.174292e-02,-9.535560e-03,1.139518e-02,7.915676e-01,-1.049143e+00,1.497196e+00,1.267669e+00,-4.378820e-02,-6.960140e-02,-7.328638e-02,-2.413204e-02,-2.137362e+01,-1.008681e+01,1.573686e+00,-1.897155e+01
1.001401e-02,-3.872439e-03,-9.210780e-03,1.784570e-02,9.111394e-01,-1.213066e+00,2.251208e+00,1.311386e+00,-5.658572e-02,-9.048885e-02,-7.090841e-02,-2.661872e-02,-1.893463e+01,-1.293911e+01,-1.191179e+00,-1.504828e+01
9.075201e-03,1.938209e-03,-8.999087e-03,1.267411e-02,4.682301e-01,-2.054512e+00,1.715722e+00,1.486253e+00,-4.143353e-02,-8.004482e-02,-8.218382e-02,-1.769345e-02,-1.570100e+01,-1.563842e+01,-3.759348e+00,-1.022890e+01
4.650122e-03,-1.386779e-03,-3.758663e-03,7.943238e-03,8.205801e-01,-1.092802e+00,2.032682e+00,1.180236e+00,-1.052231e-02,-6.785105e-02,-1.195089e-01,2.612365e-03,-1.216719e+01,-1.909176e+01,-3.376841e+00,-3.934215e+00
-1.225747e-03,-8.721394e-03,-4.613185e-03,5.873928e-03,6.532233e-01,-1.835929e+00,2.764865e+00,1.267669e+00,7.409678e-03,-7.869522e-02,-1.491594e-01,2.259595e-02,-7.991253e+00,-2.075288e+01,-1.573686e+00,2.404245e+00
-3.003275e-03,-1.219322e-02,-1.185684e-02,8.084774e-03,7.980358e-01,-1.759439e+00,2.906901e+00,1.355102e+00,3.923676e-03,-1.324878e-01,-1.633558e-01,4.593409e-02,-4.074891e+00,-2.127742e+01,2.404131e-01,7.780939e+00
2.082185e-03,-1.122765e-02,-1.701936e-02,1.520382e-02,4.188679e-01,-1.573686e+00,2.808582e+00,7.868429e-01,6.513186e-02,-1.385615e-01,-2.274557e-01,1.054256e-01,-1.458700e-01,-2.023922e+01,2.502565e+00,1.237085e+01
-1.313716e-04,-1.223513e-02,-1.670100e-02,1.304712e-02,9.221388e-01,-1.245839e+00,2.994335e+00,1.136519e+00,1.588875e-01,-7.784488e-02,-3.822555e-01,1.413043e-01,7.425244e+00,-1.162772e+01,8.895628e+00,1.784592e+01
