LAV,LAX,LAY,LAZ,LRV,LRX,LRY,LRZ,RAV,RAX,RAY,RAZ,RRV,RRX,RRY,RRZ
-4.050426e-03,4.217895e-02,-2.014211e-02,-3.220263e-02,-4.378690e-01,1.700000e+00,2.000000e-01,-1.100000e+00,5.880382e-03,-3.270263e-02,2.665526e-02,-2.815526e-02,2.531786e-01,3.000000e-01,2.500000e+00,2.000000e-01
2.832117e-03,4.237895e-02,-1.464211e-02,-2.500263e-02,-6.005446e-01,1.000000e+00,-6.000000e-01,-1.000000e+00,2.421825e-03,-3.140263e-02,3.625526e-02,-3.225526e-02,2.491847e-02,1.000000e-01,1.600000e+00,0.000000e+00
1.126422e-03,4.347895e-02,-1.024211e-02,-2.730263e-02,-1.383059e+00,-4.000000e-01,-1.400000e+00,-1.300000e+00,3.515103e-03,-3.120263e-02,3.675526e-02,-3.115526e-02,4.420743e-01,-8.000000e-01,1.400000e+00,8.000000e-01
-6.551768e-04,4.267895e-02,-1.044211e-02,-2.890263e-02,-1.516612e+00,-1.600000e+00,-1.300000e+00,-1.000000e+00,4.400186e-03,-3.260263e-02,3.675526e-02,-2.965526e-02,1.092989e-01,-1.200000e+00,1.800000e+00,6.000000e-01
-2.511042e-03,4.137895e-02,-1.034211e-02,-3.040263e-02,-1.555478e+00,-2.000000e+00,-1.000000e+00,-9.000000e-01,4.686896e-03,-3.210263e-02,3.525526e-02,-2.955526e-02,6.494916e-01,-1.000000e+00,1.200000e+00,1.100000e+00
-4.623238e-03,4.027895e-02,-1.274211e-02,-3.220263e-02,-1.668259e+00,-1.800000e+00,-7.000000e-01,-1.100000e+00,4.497486e-03,-3.190263e-02,3.325526e-02,-2.985526e-02,2.576517e-01,-8.000000e-01,1.100000e+00,6.000000e-01
-6.046319e-03,3.917895e-02,-1.334211e-02,-3.330263e-02,-1.567436e+00,-2.300000e+00,-1.100000e+00,-8.000000e-01,4.196082e-03,-3.200263e-02,3.165526e-02,-3.015526e-02,2.549085e-01,-8.000000e-01,1.400000e+00,6.000000e-01
-6.397816e-03,3.887895e-02,-1.684211e-02,-3.350263e-02,-9.373028e-01,-1.300000e+00,-1.000000e+00,-5.000000e-01,3.925532e-03,-3.200263e-02,3.075526e-02,-3.045526e-02,-1.002126e-01,-1.000000e+00,1.700000e+00,3.000000e-01
-6.540613e-03,3.937895e-02,-1.894211e-02,-3.380263e-02,-5.640083e-01,-5.000000e-01,-9.000000e-01,-4.000000e-01,4.154675e-03,-3.190263e-02,3.015526e-02,-3.025526e-02,-4.579051e-03,-1.000000e+00,1.400000e+00,4.000000e-01
-6.924960e-03,3.997895e-02,-2.074211e-02,-3.440263e-02,-9.477570e-01,-0.000000e+00,-6.000000e-01,-1.000000e+00,4.531845e-03,-3.190263e-02,2.975526e-02,-2.985526e-02,-2.607526e-02,-8.000000e-01,1.500000e+00,3.000000e-01
-7.168175e-03,4.067895e-02,-2.184211e-02,-3.490263e-02,-4.772066e-01,-0.000000e+00,-5.000000e-01,-5.000000e-01,4.838389e-03,-3.210263e-02,2.905526e-02,-2.945526e-02,3.506636e-01,5.000000e-01,1.800000e+00,2.000000e-01
-8.124704e-03,4.067895e-02,-2.304211e-02,-3.590263e-02,-5.558448e-01,-0.000000e+00,4.000000e-01,-6.000000e-01,4.780014e-03,-3.230263e-02,2.765526e-02,-2.945526e-02,2.088764e-01,1.000000e-01,1.400000e+00,2.000000e-01
-9.507386e-03,3.977895e-02,-2.544211e-02,-3.700263e-02,-4.947312e-01,2.000000e-01,-1.000000e-01,-6.000000e-01,4.708863e-03,-3.230263e-02,2.555526e-02,-2.955526e-02,2.842875e-01,3.000000e-01,1.100000e+00,2.000000e-01
-1.049947e-02,3.967895e-02,-2.674211e-02,-3.800263e-02,-4.832050e-01,2.000000e-01,6.000000e-01,-6.000000e-01,4.627684e-03,-3.180263e-02,2.405526e-02,-2.985526e-02,6.725192e-01,6.000000e-01,1.100000e+00,5.000000e-01
-1.077672e-02,3.997895e-02,-2.724211e-02,-3.840263e-02,-4.534806e-02,4.000000e-01,2.000000e-01,-2.000000e-01,4.761918e-03,-3.170263e-02,2.365526e-02,-2.975526e-02,4.296954e-01,1.200000e+00,6.000000e-01,0.000000e+00
-1.074243e-02,4.057895e-02,-2.654211e-02,-3.860263e-02,-1.099765e-01,2.000000e-01,5.000000e-01,-2.000000e-01,5.134160e-03,-3.170263e-02,2.385526e-02,-2.935526e-02,3.584880e-01,5.000000e-01,9.000000e-01,2.000000e-01
-1.017733e-02,4.167895e-02,-2.694211e-02,-3.840263e-02,-2.668525e-01,-0.000000e+00,9.000000e-01,-3.000000e-01,5.714152e-03,-3.160263e-02,2.545526e-02,-2.875526e-02,1.230807e-01,1.000000e-01,6.000000e-01,1.000000e-01
-9.852108e-03,4.307895e-02,-2.534211e-02,-3.860263e-02,-2.622222e-01,-0.000000e+00,1.200000e+00,-3.000000e-01,6.253795e-03,-3.160263e-02,2.735526e-02,-2.815526e-02,2.891983e-01,-2.000000e-01,1.000000e+00,4.000000e-01
-8.981303e-03,4.417895e-02,-2.424211e-02,-3.810263e-02,-4.864703e-01,-1.200000e+00,1.500000e+00,-1.000000e-01,6.765750e-03,-3.170263e-02,2.845526e-02,-2.755526e-02,5.971530e-01,-9.000000e-01,7.000000e-01,1.000000e+00
-8.652415e-03,4.507895e-02,-2.324211e-02,-3.810263e-02,-4.402572e-01,-8.000000e-01,1.600000e+00,-2.000000e-01,7.083720e-03,-3.210263e-02,2.875526e-02,-2.705526e-02,1.491879e-01,-6.000000e-01,5.000000e-01,4.000000e-01
-8.218417e-03,4.467895e-02,-2.264211e-02,-3.750263e-02,-8.762916e-01,-7.000000e-01,1.500000e+00,-7.000000e-01,6.941872e-03,-3.170263e-02,2.945526e-02,-2.735526e-02,-3.608645e-02,-6.000000e-01,4.000000e-01,2.000000e-01
-7.977588e-03,4.487895e-02,-2.374211e-02,-3.730263e-02,-8.061012e-01,-2.000000e-01,9.000000e-01,-8.000000e-01,7.310487e-03,-3.170263e-02,2.985526e-02,-2.695526e-02,3.970117e-01,-1.200000e+00,5.000000e-01,9.000000e-01
-6.527460e-03,4.527895e-02,-2.374211e-02,-3.590263e-02,-1.984347e-01,1.000000e+00,1.200000e+00,-6.000000e-01,7.607463e-03,-3.160263e-02,3.145526e-02,-2.665526e-02,8.397713e-01,-5.000000e-01,3.000000e-01,1.100000e+00
-4.655755e-03,4.557895e-02,-2.454211e-02,-3.400263e-02,1.312825e-01,2.000000e+00,1.000000e-01,-6.000000e-01,8.207748e-03,-3.170263e-02,3.275526e-02,-2.595526e-02,1.947181e-01,-1.000000e+00,1.000000e-01,6.000000e-01
-2.002561e-03,4.757895e-02,-2.494211e-02,-3.190263e-02,8.090996e-02,2.400000e+00,0.000000e+00,-8.000000e-01,8.610175e-03,-3.180263e-02,3.495526e-02,-2.545526e-02,9.250769e-01,-1.600000e+00,-1.300000e+00,1.600000e+00
4.442965e-04,4.947895e-02,-2.434211e-02,-3.000263e-02,2.703380e-01,2.400000e+00,1.000000e-01,-6.000000e-01,8.872849e-03,-3.150263e-02,3.745526e-02,-2.525526e-02,1.408054e+00,-2.600000e+00,-2.000000e+00,2.500000e+00
2.831898e-03,5.117895e-02,-2.314211e-02,-2.810263e-02,3.014442e-01,2.200000e+00,5.000000e-01,-5.000000e-01,8.774944e-03,-3.150263e-02,3.755526e-02,-2.535526e-02,1.099159e+00,-3.700000e+00,-1.900000e+00,2.600000e+00
3.185802e-03,5.217895e-02,-2.254211e-02,-2.810263e-02,-3.980670e-01,1.800000e+00,6.000000e-01,-1.100000e+00,8.592377e-03,-3.100263e-02,3.665526e-02,-2.575526e-02,1.131375e+00,-4.100000e+00,-1.300000e+00,2.800000e+00
2.932455e-03,5.277895e-02,-2.194211e-02,-2.860263e-02,-3.978345e-01,1.800000e+00,6.000000e-01,-1.100000e+00,7.710009e-03,-3.040263e-02,3.515526e-02,-2.695526e-02,4.236065e-01,-5.000000e+00,-8.000000e-01,2.400000e+00
3.375655e-03,5.347895e-02,-2.104211e-02,-2.840263e-02,-3.975812e-01,1.800000e+00,6.000000e-01,-1.100000e+00,6.339731e-03,-3.040263e-02,3.315526e-02,-2.845526e-02,7.818814e-01,-4.000000e+00,-4.000000e-01,2.400000e+00
1.684421e-03,5.177895e-02,-1.934211e-02,-2.960263e-02,-2.059779e-03,9.000000e-01,3.600000e+00,-4.000000e-01,5.033294e-03,-3.110263e-02,2.875526e-02,-2.965526e-02,5.151785e-01,-2.400000e+00,4.000000e-01,1.500000e+00
-3.723366e-04,4.847895e-02,-1.784211e-02,-3.060263e-02,2.552064e-01,1.200000e+00,1.600000e+00,-2.000000e-01,4.157389e-03,-3.100263e-02,2.755526e-02,-3.065526e-02,7.493119e-01,-2.000000e+00,7.000000e-01,1.600000e+00
-3.667894e-03,4.587895e-02,-1.534211e-02,-3.320263e-02,-1.523414e-01,-5.000000e-01,1.200000e+00,0.000000e+00,3.915020e-03,-3.070263e-02,2.625526e-02,-3.105526e-02,3.966283e-01,-1.400000e+00,1.500000e+00,1.000000e+00
-6.978940e-03,4.487895e-02,-1.314211e-02,-3.640263e-02,-2.476012e-01,-8.000000e-01,1.700000e+00,0.000000e+00,2.911725e-03,-3.050263e-02,2.375526e-02,-3.225526e-02,4.158362e-01,-1.100000e+00,1.300000e+00,9.000000e-01
-1.179748e-02,4.177895e-02,-1.274211e-02,-4.040263e-02,-1.702773e-01,-1.400000e+00,1.900000e+00,3.000000e-01,2.202882e-03,-3.030263e-02,2.035526e-02,-3.315526e-02,4.154657e-01,2.000000e-01,1.800000e+00,4.000000e-01
-1.452671e-02,3.937895e-02,-1.414211e-02,-4.240263e-02,-1.922643e-02,-1.200000e+00,1.200000e+00,4.000000e-01,1.724528e-03,-3.050263e-02,1.685526e-02,-3.365526e-02,9.965943e-01,5.000000e-01,1.400000e+00,9.000000e-01
-1.673570e-02,3.777895e-02,-1.784211e-02,-4.410263e-02,2.307382e-01,-5.000000e-01,1.700000e+00,4.000000e-01,1.482068e-03,-3.050263e-02,1.485526e-02,-3.395526e-02,8.185065e-01,5.000000e-01,9.000000e-01,7.000000e-01
-1.637562e-02,3.597895e-02,-2.084211e-02,-4.300263e-02,-1.619532e-01,1.100000e+00,1.300000e+00,-6.000000e-01,1.636952e-03,-3.090263e-02,1.385526e-02,-3.365526e-02,4.296137e-01,2.000000e-01,9.000000e-01,4.000000e-01
-1.602203e-02,3.407895e-02,-2.214211e-02,-4.190263e-02,-6.000512e-01,1.200000e+00,1.100000e+00,-1.100000e+00,2.437084e-03,-3.150263e-02,1.445526e-02,-3.255526e-02,-2.744450e-01,-7.000000e-01,1.100000e+00,0.000000e+00
-1.559459e-02,3.237895e-02,-2.324211e-02,-4.080263e-02,-2.293827e-01,9.000000e-01,1.400000e+00,-6.000000e-01,3.127545e-03,-3.130263e-02,1.655526e-02,-3.185526e-02,-2.821006e-02,-8.000000e-01,9.000000e-01,3.000000e-01
-1.402391e-02,3.427895e-02,-2.454211e-02,-3.980263e-02,2.459548e-01,1.200000e+00,1.200000e+00,-2.000000e-01,4.477104e-03,-3.070263e-02,2.095526e-02,-3.055526e-02,1.115917e-01,-2.000000e-01,1.000000e-01,2.000000e-01
-1.259487e-02,3.677895e-02,-2.424211e-02,-3.920263e-02,-8.974922e-02,8.000000e-01,6.000000e-01,-4.000000e-01,5.349845e-03,-3.080263e-02,2.215526e-02,-2.955526e-02,-3.631394e-03,-2.000000e-01,1.300000e+00,1.000000e-01
-1.066004e-02,3.887895e-02,-2.484211e-02,-3.790263e-02,2.791028e-01,-1.000000e-01,1.900000e+00,3.000000e-01,5.681318e-03,-3.140263e-02,2.265526e-02,-2.895526e-02,-2.640377e-01,-7.000000e-01,5.000000e-01,0.000000e+00
-8.377159e-03,4.007895e-02,-2.544211e-02,-3.590263e-02,8.225246e-02,-7.000000e-01,2.500000e+00,3.000000e-01,6.083439e-03,-3.180263e-02,2.325526e-02,-2.835526e-02,2.950904e-02,-4.000000e-01,6.000000e-01,2.000000e-01
-5.216443e-03,4.217895e-02,-2.574211e-02,-3.330263e-02,1.303535e-02,-9.000000e-01,2.500000e+00,3.000000e-01,6.010750e-03,-3.200263e-02,2.325526e-02,-2.835526e-02,4.292220e-01,-1.000000e-01,0.000000e+00,5.000000e-01
-3.599758e-03,4.357895e-02,-2.534211e-02,-3.210263e-02,-3.753985e-01,-1.200000e+00,2.300000e+00,0.000000e+00,5.591185e-03,-3.260263e-02,2.405526e-02,-2.855526e-02,1.293309e-01,-1.000000e-01,1.100000e+00,2.000000e-01
-3.104120e-03,4.407895e-02,-2.274211e-02,-3.180263e-02,-3.757540e-01,-1.200000e+00,2.300000e+00,0.000000e+00,5.490545e-03,-3.260263e-02,2.445526e-02,-2.865526e-02,2.879548e-01,3.000000e-01,4.000000e-01,2.000000e-01
-3.380202e-03,4.427895e-02,-2.064211e-02,-3.220263e-02,-7.302757e-01,-9.000000e-01,3.100000e+00,-5.000000e-01,5.116093e-03,-3.260263e-02,2.455526e-02,-2.905526e-02,1.492038e-01,2.000000e-01,9.000000e-01,1.000000e-01
-3.895778e-03,4.467895e-02,-2.034211e-02,-3.290263e-02,-5.816522e-01,-1.800000e+00,2.300000e+00,0.000000e+00,4.698971e-03,-3.220263e-02,2.475526e-02,-2.965526e-02,-2.188711e-01,-3.000000e-01,9.000000e-01,-1.000000e-01
-3.981321e-03,4.467895e-02,-1.964211e-02,-3.300263e-02,-2.246816e-01,-5.000000e-01,2.700000e+00,-1.000000e-01,4.778926e-03,-3.200263e-02,2.435526e-02,-2.965526e-02,9.137882e-02,-2.000000e-01,1.200000e+00,2.000000e-01
-3.716032e-03,4.407895e-02,-1.944211e-02,-3.250263e-02,-7.288387e-01,-6.000000e-01,2.700000e+00,-6.000000e-01,4.729424e-03,-3.190263e-02,2.395526e-02,-2.975526e-02,1.685959e-01,-5.000000e-01,1.200000e+00,4.000000e-01
-2.432875e-03,4.427895e-02,-1.984211e-02,-3.120263e-02,-4.205876e-01,-2.000000e-01,1.600000e+00,-4.000000e-01,4.906272e-03,-3.190263e-02,2.445526e-02,-2.955526e-02,5.685405e-02,-3.000000e-01,1.100000e+00,2.000000e-01
-1.333089e-04,4.477895e-02,-2.184211e-02,-2.890263e-02,-2.441763e-01,1.700000e+00,1.400000e+00,-9.000000e-01,5.042253e-03,-3.150263e-02,2.495526e-02,-2.955526e-02,1.937853e-01,-2.000000e-01,7.000000e-01,3.000000e-01
1.624034e-03,4.527895e-02,-2.244211e-02,-2.720263e-02,-2.861058e-01,1.900000e+00,3.000000e-01,-1.000000e+00,5.141666e-03,-3.140263e-02,2.655526e-02,-2.945526e-02,2.804969e-01,-7.000000e-01,1.300000e+00,6.000000e-01
2.678119e-03,4.507895e-02,-2.264211e-02,-2.600263e-02,-2.858454e-01,1.900000e+00,3.000000e-01,-1.000000e+00,5.349357e-03,-3.150263e-02,2.845526e-02,-2.915526e-02,1.864150e-01,-1.000000e+00,5.000000e-01,6.000000e-01
2.611445e-03,4.497895e-02,-2.464211e-02,-2.600263e-02,-3.329961e-01,1.500000e+00,0.000000e+00,-9.000000e-01,5.500149e-03,-3.130263e-02,2.925526e-02,-2.905526e-02,-2.625563e-01,-1.200000e+00,7.000000e-01,2.000000e-01
1.959811e-03,4.387895e-02,-2.414211e-02,-2.630263e-02,-3.622812e-01,1.400000e+00,3.000000e-01,-9.000000e-01,5.196647e-03,-3.110263e-02,2.945526e-02,-2.945526e-02,2.245639e-01,-9.000000e-01,4.000000e-01,6.000000e-01
1.334986e-03,4.337895e-02,-2.304211e-02,-2.680263e-02,-3.621182e-01,1.400000e+00,3.000000e-01,-9.000000e-01,5.071601e-03,-3.150263e-02,2.835526e-02,-2.945526e-02,2.720919e-01,-1.000000e+00,9.000000e-01,7.000000e-01
