LAV,LAX,LAY,LAZ,LRV,LRX,LRY,LRZ,RAV,RAX,RAY,RAZ,RRV,RRX,RRY,RRZ
5.938381e-03,-4.737528e-02,5.956237e-02,3.126009e-02,1.184445e+00,6.720910e+00,1.832680e+01,-5.070734e+00,9.082139e-04,-1.649261e-02,-1.320984e-02,1.030520e-02,-2.434251e-01,-3.081768e+00,-3.824894e+00,1.081916e+00
-8.737954e-03,-6.670726e-02,1.098370e-01,2.034077e-02,2.070412e+00,3.671915e+00,1.364946e+01,-1.486253e+00,1.821002e-03,-1.705019e-02,-1.503768e-02,1.145564e-02,-8.422531e-02,-2.491679e+00,-3.355012e+00,9.617097e-01
-5.792232e-03,-3.928781e-02,6.849253e-02,1.100190e-02,4.230211e+00,1.912476e+00,1.154029e+01,2.480735e+00,-7.155777e-04,-1.537428e-02,-1.737752e-02,6.695406e-03,-8.273525e-02,-2.524452e+00,-3.038051e+00,1.049143e+00
-7.239467e-03,-3.153725e-02,1.713075e-02,1.029514e-02,4.998133e+00,-8.743336e-02,1.010869e+01,4.852150e+00,1.311583e-03,-1.711728e-02,-2.127875e-02,9.629231e-03,6.545088e-02,-2.491679e+00,-2.524452e+00,1.311386e+00
-1.262659e-03,-1.672506e-02,-1.129863e-02,1.126692e-02,3.223912e+00,-8.743336e-02,8.524065e+00,2.917845e+00,-1.273837e-03,-1.617221e-02,-2.541492e-02,4.948734e-03,7.288994e-01,-1.245839e+00,-2.557225e+00,1.256783e+00
3.735491e-03,-8.570473e-04,-2.130592e-02,8.308014e-03,3.094747e+00,4.808262e-01,7.354773e+00,2.535338e+00,-1.714847e-03,-1.466048e-02,-1.864941e-02,4.701249e-03,-2.247649e-01,-1.311386e+00,-1.868759e+00,2.623001e-01
6.193128e-05,-6.914264e-03,-4.559224e-03,5.960424e-03,2.901286e+00,1.715722e+00,7.627959e+00,1.486253e+00,2.408424e-03,-1.318740e-02,-1.510539e-02,9.478415e-03,1.621532e-01,-7.321828e-01,-1.420706e+00,4.262233e-01
-6.529051e-03,-3.683335e-02,-1.299748e-02,1.815093e-02,2.913356e+00,2.447962e+00,5.606220e+00,1.267669e+00,7.553684e-04,-1.658978e-02,-1.237591e-02,1.035751e-02,-3.187818e-02,-6.556929e-01,-9.944828e-01,2.185834e-01
-1.631222e-02,-5.433086e-02,-2.638146e-02,1.919726e-02,3.091451e+00,3.344068e+00,3.650028e+00,1.136519e+00,3.509063e-03,-1.213169e-02,-8.197933e-03,1.149001e-02,5.146602e-01,-7.868429e-01,-6.775799e-01,1.049143e+00
-1.353140e-02,-6.943092e-02,-1.099180e-02,3.033185e-02,4.728322e+00,4.939584e+00,4.043363e-01,2.447962e+00,2.379079e-04,-1.290647e-02,-5.576549e-03,8.517129e-03,6.256552e-01,-6.556929e-01,-4.699400e-01,1.136519e+00
