LAV,LAX,LAY,LAZ,LRV,LRX,LRY,LRZ,RAV,RAX,RAY,RAZ,RRV,RRX,RRY,RRZ
-1.879532e-03,-3.962800e-03,-2.284233e-02,-6.974591e-03,4.602424e-01,-1.355102e+00,1.158406e+00,1.311386e+00,1.515937e-03,-8.664394e-04,-1.068711e-02,-9.607337e-05,6.177930e-01,-8.742763e-01,-1.988966e+00,1.005426e+00
-7.165204e-03,-6.922424e-03,-1.596322e-02,-1.141372e-02,3.694209e-01,-1.005426e+00,8.415031e-01,1.005426e+00,4.451332e-03,1.265481e-03,-1.043473e-02,2.083162e-03,4.656559e-01,4.371668e-02,-1.475309e+00,2.623001e-01
3.441780e-03,2.282350e-03,-1.549303e-02,-4.493927e-03,5.671130e-01,1.420935e-01,7.649560e-01,5.682595e-01,2.102829e-03,1.929437e-04,-1.613892e-02,-1.176565e-03,3.701629e-01,-6.447494e-01,-1.136519e+00,6.994096e-01
1.158841e-02,1.105874e-02,-1.456040e-02,-1.719617e-04,6.191259e-01,6.119762e-01,1.672005e+00,3.497334e-01,7.804332e-04,-1.294516e-03,-1.865548e-02,-2.249918e-03,5.576367e-01,-1.005426e+00,-7.321828e-01,1.267669e+00
-5.787254e-03,7.323817e-04,-1.254717e-02,-1.428055e-02,1.137450e+00,1.704836e+00,3.038051e+00,3.060168e-01,-6.473205e-04,-1.249649e-03,-2.266929e-02,-4.839793e-03,9.142051e-02,-1.223952e+00,-3.497334e-01,9.179930e-01
-1.298598e-02,-1.889930e-02,1.634329e-03,-1.133194e-02,1.006130e+00,9.179930e-01,2.764865e+00,6.119762e-01,1.202175e-03,-3.164472e-03,-2.173604e-02,-9.969926e-04,7.412646e-01,-6.119762e-01,-6.884661e-01,1.223952e+00
-1.051514e-02,-6.904681e-03,3.602891e-03,-1.543405e-02,3.919637e-01,8.415031e-01,2.950618e+00,-5.466017e-02,-2.745957e-04,-3.769877e-03,-2.439822e-02,-2.921707e-03,9.286728e-01,1.094349e-02,-1.092631e-01,1.125633e+00
-1.462653e-02,-1.581466e-02,5.321521e-03,-1.504779e-02,4.094783e-01,1.748667e-01,3.114541e+00,3.497334e-01,3.499854e-03,-3.203731e-03,-2.355226e-02,1.530884e-03,8.375339e-01,-4.371668e-02,-1.202065e-01,1.049143e+00
-2.155830e-02,-3.112988e-02,7.795862e-03,-1.423242e-02,1.012722e+00,4.152798e-01,1.639232e+00,9.179930e-01,-1.596309e-03,-3.236668e-03,-1.996806e-02,-4.085101e-03,5.003516e-01,-4.371095e-01,8.743336e-02,9.507662e-01
-2.220297e-02,-2.873915e-02,1.079923e-02,-1.637189e-02,9.619927e-01,-7.431263e-01,1.322329e+00,1.529969e+00,-1.190517e-03,-4.466548e-03,-1.728865e-02,-2.182311e-03,2.384114e-01,0.000000e+00,2.731863e-01,3.497334e-01
-6.350219e-03,-1.210585e-02,-3.224517e-03,-7.559500e-03,7.844008e-01,-1.453479e+00,8.742763e-01,1.737609e+00,-2.958000e-03,-3.906927e-03,-1.974933e-02,-5.257673e-03,2.692448e-01,6.447494e-01,4.152798e-01,-4.371668e-02
-7.045831e-03,-1.432556e-02,-4.647571e-04,-7.090940e-03,8.384836e-01,-1.355102e+00,5.466017e-02,1.748553e+00,3.147772e-03,-6.312336e-03,-1.663654e-02,4.654784e-03,1.347682e-01,1.857529e-01,4.371668e-02,4.371668e-02
1.424558e-02,2.419706e-03,-6.367792e-03,7.871458e-03,4.493340e-01,-6.994096e-01,6.338632e-01,9.179930e-01,-1.502223e-03,-5.717128e-03,-1.660503e-02,-1.544580e-03,5.170605e-01,5.354864e-01,2.294696e-01,3.060168e-01
4.903441e-03,8.553299e-03,-1.587338e-02,-6.385195e-03,7.508606e-01,4.371668e-02,1.890589e+00,8.305596e-01,-7.683942e-04,-8.844597e-03,-1.353834e-02,2.192374e-03,-6.247579e-02,0.000000e+00,6.229197e-01,4.371668e-02
-1.822742e-02,-2.409394e-02,-7.844035e-03,-1.432562e-02,8.258923e-01,1.202065e-01,1.682949e+00,8.742763e-01,1.910638e-03,-8.911083e-03,-1.793821e-02,4.711991e-03,1.156112e-03,-3.060168e-01,1.639232e-01,2.513566e-01
-2.144544e-02,-2.809673e-02,-2.760036e-03,-1.576648e-02,7.533609e-01,4.371095e-01,1.016313e+00,6.119762e-01,-5.104162e-03,-8.802483e-03,-2.098920e-02,-4.679698e-03,2.200058e-01,2.731863e-01,4.371668e-02,8.743336e-02
-2.383767e-02,-3.194881e-02,2.121855e-03,-1.633406e-02,7.594115e-01,-5.901465e-01,4.371095e-01,1.213066e+00,3.243616e-03,-9.425937e-03,-2.223203e-02,5.898940e-03,5.666373e-01,2.076399e-01,-1.639232e-01,5.245429e-01
